,transaction_id,client_id,transaction_amount,transaction_date,counterparty_id,counterparty_country,credit_debit,transaction_type
0,T00001,C0963,2502.5,2024-02-17T00:00:00,CP57227,Germany,credit,internal transfer
1,T00002,C0996,883.47,2024-02-11T00:00:00,CP64085,Sweden,debit,internal transfer
2,T00003,C0352,2779.41,2024-09-09T00:00:00,CP62502,Norway,debit,online payment
3,T00004,C0559,128.33,2024-08-01T00:00:00,CP94124,Denmark,credit,internal transfer
4,T00005,C0809,1008.33,2024-03-20T00:00:00,CP81840,Austria,debit,wire
5,T00006,C0843,187.47,2024-04-16T00:00:00,CP68785,Austria,credit,online payment
6,T00007,C0163,244.9,2024-05-13T00:00:00,CP39805,Norway,debit,internal transfer
7,T00008,C0246,116.35,2024-12-15T00:00:00,CP83096,Sweden,credit,internal transfer
8,T00009,C0025,107.82,2024-12-23T00:00:00,CP39559,Switzerland,debit,internal transfer
9,T00010,C0491,86.64,2024-04-22T00:00:00,CP40495,Angola,credit,cash
10,T00011,C0973,331.24,2024-03-11T00:00:00,CP75612,Italy,debit,internal transfer
11,T00012,C0328,780.02,2024-11-20T00:00:00,CP97852,Switzerland,credit,internal transfer
12,T00013,C0406,38.89,2024-05-28T00:00:00,CP74517,Spain,credit,wire
13,T00014,C0025,2215.16,2024-12-22T00:00:00,CP64386,Finland,credit,internal transfer
14,T00015,C0564,140.76,2024-04-12T00:00:00,CP87289,Netherlands,credit,cash
15,T00016,C0037,468.5,2024-10-25T00:00:00,CP74417,Austria,debit,online payment
16,T00017,C0008,859.66,2024-02-11T00:00:00,CP86229,Netherlands,credit,internal transfer
17,T00018,C0903,918.11,2024-03-25T00:00:00,CP62059,Austria,credit,internal transfer
18,T00019,C0218,330.35,2024-01-04T00:00:00,CP92271,Sweden,debit,wire
19,T00020,C0763,1949.92,2024-05-16T00:00:00,CP82910,Norway,credit,internal transfer
20,T00021,C0384,1430.29,2024-03-22T00:00:00,CP36422,Switzerland,debit,internal transfer
21,T00022,C0773,1871.04,2024-06-20T00:00:00,CP35660,Myanmar,credit,internal transfer
22,T00023,C0335,4564.16,2024-07-20T00:00:00,CP25619,France,credit,internal transfer
23,T00024,C0667,672.01,2024-01-15T00:00:00,CP68398,Sweden,credit,online payment
24,T00025,C0618,6867.53,2024-12-09T00:00:00,CP77083,Switzerland,credit,wire
25,T00026,C0789,1040.71,2024-04-04T00:00:00,CP24770,Switzerland,credit,online payment
26,T00027,C0043,980.26,2024-02-24T00:00:00,CP36946,France,credit,cash
27,T00028,C0205,2852.23,2024-06-01T00:00:00,CP98369,Spain,debit,internal transfer
28,T00029,C0220,4354.59,2024-06-04T00:00:00,CP57308,Belgium,debit,cash
29,T00030,C0475,111.8,2024-11-16T00:00:00,CP40121,Denmark,credit,online payment
30,T00031,C0581,4418.31,2024-05-09T00:00:00,CP38417,France,credit,cash
31,T00032,C0524,48.2,2024-01-07T00:00:00,CP38367,France,debit,internal transfer
32,T00033,C0850,399.14,2024-06-19T00:00:00,CP37047,Switzerland,debit,cash
33,T00034,C0512,5867.21,2024-07-17T00:00:00,CP52907,Italy,credit,online payment
34,T00035,C0469,8299.23,2024-11-04T00:00:00,CP31660,Sweden,credit,internal transfer
35,T00036,C0943,1353.3,2024-10-14T00:00:00,CP88215,Finland,credit,wire
36,T00037,C0293,3169.52,2024-12-07T00:00:00,CP42573,Spain,credit,online payment
37,T00038,C0080,1916.16,2024-01-01T00:00:00,CP14089,France,credit,internal transfer
38,T00039,C0635,102.65,2024-01-06T00:00:00,CP45944,Italy,credit,wire
39,T00040,C0953,0.02,2024-08-15T00:00:00,CP59993,Belgium,debit,cash
40,T00041,C0747,1679.17,2024-03-22T00:00:00,CP22744,Denmark,credit,cash
41,T00042,C0055,917.89,2024-11-26T00:00:00,CP35006,Sweden,credit,cash
42,T00043,C0995,1100.4,2024-07-09T00:00:00,CP19974,Switzerland,debit,internal transfer
43,T00044,C0287,1080.81,2024-01-12T00:00:00,CP48989,Austria,debit,cash
44,T00045,C0789,71.24,2024-03-02T00:00:00,CP49590,Netherlands,debit,cash
